"Settlement.id","long","lat","Name","Metric...System","Demographics...Projected.household.count","Demand..household....Target.household.count","Demand...Projected.nodal.demand.per.year","System..grid....Transformer.cost","Demographics...Population.count","Demographics...Projected.population.count","order","piece","group","id","fake.node","root","branch","dist","MV.line.per.kwh","near.sighted.sequence","depth","Total.Downstream.Demand.kWh","Total.Downstream.Network.Extent.m","Selection.Criteria","far.sighted.sequence"
"191",129.915529999999,-3.335319,810703100401,"grid",67,67,68742,7000,238,238,1,"1","416.1","416",FALSE,443,"443",61.8690746227209,0.000900018542124479,104,0,68742,61.8690746227209,0.000900018542124479,101
"1137",128.192366999999,-3.648543,817103100704,"grid",74,74,75924,7000,190,190,1,"1","429.1","429",FALSE,180,"180",68.4859734842758,0.00090203326331958,105,0,75924,68.4859734842758,0.00090203326331958,102
"54",127.952152,-3.665884,810311000502,"grid",37,37,37962,3000,181,181,1,"1","347.1","347",FALSE,45,"45",34.7633592557535,0.000915740984557018,106,0,37962,34.7633592557535,0.000915740984557018,103
"753",128.978061999999,-3.199964,810306001701,"grid",33,33,33858,3000,109,109,1,"1","339.1","339",FALSE,375,"375",31.3272590537583,0.000925254269412202,107,0,33858,31.3272590537583,0.000925254269412202,104
"45",128.493516,-3.522228,810309000701,"grid",9,9,9234,3000,36,36,1,"1","243.1","243",FALSE,299,"299",8.60358217078811,0.00093172863014816,108,0,9234,8.60358217078811,0.00093172863014816,105
"871",127.943388,-3.361623,810602100314,"grid",95,95,97470,9000,576,576,1,"1","476.1","476",FALSE,42,"42",93.7364355081195,0.000961695244773977,109,0,97470,93.7364355081195,0.000961695244773977,106
"521",128.267041,-3.703344,817102100701,"grid",24,24,24624,3000,97,97,1,"1","303.1","303",FALSE,233,"233",23.7835558936307,0.000965868904062327,110,0,24624,23.7835558936307,0.000965868904062327,107
"201",129.772640999999,-3.326174,810304100501,"grid",95,95,97470,9000,693,693,1,"1","479.1","479",FALSE,426,"426",95.626812730899,0.000981089696633826,111,0,97470,95.626812730899,0.000981089696633826,108
"444",128.072752,-3.183969,810602100501,"grid",100,100,102600,9000,411,411,1,"1","487.1","487",FALSE,77,"77",100.827478543373,0.000982723962411042,112,0,102600,100.827478543373,0.000982723962411042,109
"858",128.238546,-3.738473,817102100301,"grid",8,8,8208,3000,35,35,1,"1","239.1","239",FALSE,224,"224",8.13181816841555,0.000990718587769926,113,0,8208,8.13181816841555,0.000990718587769926,110
"63",129.213459,-2.938923,810314004101,"grid",162,162,166212,13000,569,569,1,"1","551.1","551",FALSE,405,"405",165.133435601914,0.000993510911377719,114,0,166212,165.133435601914,0.000993510911377719,111
"673",128.4711,-2.853001,810604001402,"grid",35,35,35910,3000,156,156,1,"1","352.1","352",FALSE,292,"292",35.9403083847259,0.00100084400959972,115,0,35910,35.9403083847259,0.00100084400959972,112
"391",128.355718999999,-3.613015,810310000301,"grid",18,18,18468,3000,72,72,1,"1","283.1","283",FALSE,267,"267",18.5906295211692,0.00100664010835874,116,0,18468,18.5906295211692,0.00100664010835874,113
"251",128.330466,-3.507693,810310000602,"grid",16,16,16416,3000,82,82,1,"1","275.1","275",FALSE,259,"259",16.7213099031542,0.00101859831281398,117,0,16416,16.7213099031542,0.00101859831281398,114
"240",128.345074,-2.863547,810604000702,"grid",49,49,50274,6000,247,247,1,"1","392.1","392",FALSE,266,"266",51.411467160101,0.00102262535624977,118,0,50274,51.411467160101,0.00102262535624977,115
"862",128.092454,-3.128608,810602002001,"grid",11,11,11286,3000,33,33,1,"1","256.1","256",FALSE,87,"87",11.7723782232238,0.00104309571355873,119,0,11286,11.7723782232238,0.00104309571355873,116
"276",128.542227,-2.850308,810604001602,"grid",24,24,24624,3000,104,104,1,"1","313.1","313",FALSE,305,"305",26.1024143941197,0.0010600395709113,120,0,24624,26.1024143941197,0.0010600395709113,117
"175",128.809811999999,-3.673737,810308100301,"grid",57,57,58482,6000,204,204,1,"1","417.1","417",FALSE,355,"355",62.1403084717707,0.00106255443507012,122,0,58482,62.1403084717707,0.00106255443507012,118
"463",128.367557,-3.346869,810603000104,"grid",117,117,120042,9000,502,502,1,"1","527.1","527",FALSE,268,"268",128.659423500288,0.0010717867371444,123,0,120042,128.659423500288,0.0010717867371444,119
"567",131.329982759975,-4.11555062526789,810701001099,"grid",573,573,587898,39000,3962,3962,1,"1","686.1","686",FALSE,508,"508",641.72323789512,0.00109155540228938,124,0,587898,641.72323789512,0.00109155540228938,120
"716",128.332900999999,-3.537356,810310000504,"grid",15,15,15390,3000,68,68,1,"1","278.1","278",FALSE,260,"260",17.432226593108,0.00113269828415257,125,0,15390,17.432226593108,0.00113269828415257,121
"1075",127.966027999999,-3.646583,810311000801,"grid",34,34,34884,3000,170,170,1,"1","359.1","359",FALSE,48,"48",39.8735658352329,0.0011430330763454,126,0,34884,39.8735658352329,0.0011430330763454,122
"755",127.93201,-3.680416,810311000401,"grid",105,105,107730,9000,522,522,1,"1","522.1","522",FALSE,32,"32",124.293597215746,0.00115375101843262,127,0,107730,124.293597215746,0.00115375101843262,123
"816",128.783444,-2.865303,810314100101,"grid",96,96,98496,9000,384,384,1,"1","512.1","512",FALSE,353,"353",113.706789061671,0.00115443052572359,128,0,98496,113.706789061671,0.00115443052572359,124
"572",128.156576,-3.709731,817101000501,"grid",260,260,266760,19000,1146,1146,1,"1","620.1","620",FALSE,132,"132",310.05087089046,0.00116228396645097,129,0,266760,310.05087089046,0.00116228396645097,125
